,YY,F,CC,M,T
AF,2003,57.0464717,AF,53.89913208,55.47751588
AS,2003,73.68534483,AS,68.3047931,70.88579983
EU,2003,79.36359459,EU,72.82664865,76.02740738
NA,2003,75.10960714,NA,69.42660714,72.20771254
OC,2003,72.42909091,OC,67.63390909,69.91703104
SA,2003,73.544,SA,67.60225,70.54675
AllWorld,2003,71.8630182,AllWorld,66.61555668,69.17703611
AF,2004,57.55501887,AF,54.45488679,56.00950621
AS,2004,74.04748276,AS,68.60051724,71.21243902
EU,2004,79.94872973,EU,73.23605405,76.52243968
NA,2004,75.34278571,NA,69.62392857,72.42355052
OC,2004,72.53381818,OC,67.81009091,70.05970732
SA,2004,73.92775,SA,67.90325,70.8915
AllWorld,2004,72.22593088,AllWorld,66.93812126,69.51985713
AF,2005,58.10381132,AF,54.922,56.51635665
AS,2005,74.24562069,AS,68.76731034,71.39148528
EU,2005,80.04859459,EU,73.33724324,76.62204153
NA,2005,75.70692857,NA,69.93617857,72.7632953
OC,2005,72.60341667,OC,67.79783333,70.09270732
SA,2005,74.29125,SA,68.29025,71.27225
AllWorld,2005,72.49993697,AllWorld,67.17513592,69.77635601
AF,2006,58.719,AF,55.55762264,57.14255223
AS,2006,74.6387931,AS,68.87082759,71.62603448
EU,2006,80.28078378,EU,73.74491892,76.944118
NA,2006,76.01031034,NA,70.21910345,73.0587418
OC,2006,72.75172727,OC,68.04490909,70.28834368
SA,2006,74.50725,SA,68.652,71.56875
AllWorld,2006,72.81797742,AllWorld,67.51489695,70.1047567
AF,2007,59.36815094,AF,56.08535849,57.7280497
AS,2007,74.90610345,AS,69.19844828,71.92491085
EU,2007,80.47502703,EU,73.984,77.16164403
NA,2007,76.26851724,NA,70.50882759,73.33570648
OC,2007,72.77,OC,68.09618182,70.32201996
SA,2007,74.55675,SA,68.77475,71.652
AllWorld,2007,73.05742478,AllWorld,67.77459436,70.35405517
AF,2008,59.98018868,AF,56.59077358,58.28677635
AS,2008,75.15037931,AS,69.59837931,72.26550126
EU,2008,80.82789189,EU,74.36724324,77.52908438
NA,2008,76.46244828,NA,70.6927931,73.52459125
OC,2008,73.027,OC,68.20445455,70.49383814
SA,2008,74.9655,SA,69.029,71.98725
AllWorld,2008,73.40223469,AllWorld,68.08044063,70.68117356
AF,2009,60.64781132,AF,57.15935849,58.90193143
AS,2009,75.46137931,AS,70.02962069,72.65540118
EU,2009,81.00848649,EU,74.67218919,77.77165854
NA,2009,76.8332069,NA,71.02265517,73.8770799
OC,2009,73.13490909,OC,68.28081818,70.58385809
SA,2009,75.2745,SA,69.39575,72.331
AllWorld,2009,73.72671552,AllWorld,68.42673195,71.02015486
AF,2010,61.29281132,AF,57.73084906,59.50856374
AS,2010,75.76165517,AS,70.36389655,72.98650463
EU,2010,81.24635135,EU,74.98962162,78.04910943
NA,2010,76.49965517,NA,70.954,73.68010765
OC,2010,73.31054545,OC,68.37927273,70.716949
SA,2010,75.6825,SA,69.57675,72.61725
AllWorld,2010,73.96558641,AllWorld,68.66573166,71.25974741
AF,2011,61.98554717,AF,58.22967925,60.10249471
AS,2011,75.91086207,AS,70.49058621,73.12713625
EU,2011,81.68240541,EU,75.44221622,78.4928853
NA,2011,77.16675862,NA,71.46313793,74.26960976
OC,2011,73.54745455,OC,68.47318182,70.87062528
SA,2011,75.92025,SA,69.829,72.8665
AllWorld,2011,74.36887964,AllWorld,68.9879669,71.62154188
AF,2012,62.67396226,AF,58.83232075,60.74835895
AS,2012,76.00434483,AS,70.63489655,73.2471926
EU,2012,81.71794595,EU,75.60537838,78.5928174
NA,2012,77.32103448,NA,71.69124138,74.46227502
OC,2012,73.62727273,OC,68.58990909,70.97000887
SA,2012,76.18425,SA,69.965,73.06375
AllWorld,2012,74.58813504,AllWorld,69.21979103,71.84740047
AF,2013,63.22220755,AF,59.29866038,61.25216199
AS,2013,76.27265517,AS,70.83934483,73.47650294
EU,2013,81.83683784,EU,75.89581081,78.79838563
NA,2013,77.48827586,NA,71.90355172,74.65473339
OC,2013,73.73790909,OC,68.69818182,71.0777561
SA,2013,76.37825,SA,70.17175,73.2665
AllWorld,2013,74.82268925,AllWorld,69.46788326,72.08767334
AF,2014,63.77330189,AF,59.63407547,61.69216337
AS,2014,76.43596552,AS,70.88034483,73.57380151
EU,2014,82.13735135,EU,76.20397297,79.1026882
NA,2014,77.5757931,NA,72.01248276,74.75443734
OC,2014,73.82727273,OC,68.74963636,71.14644346
SA,2014,76.45525,SA,70.45,73.45625
AllWorld,2014,75.03415576,AllWorld,69.6550854,72.28763065
AF,2015,64.27303774,AF,60.14518868,62.19868477
AS,2015,76.67437931,AS,71.18751724,73.85094701
EU,2015,81.95424324,EU,76.18975676,79.00517732
NA,2015,77.7317931,NA,72.13982759,74.89766106
OC,2015,73.91390909,OC,68.78218182,71.2001663
SA,2015,76.57875,SA,70.47175,73.52325
AllWorld,2015,75.18768541,AllWorld,69.81937035,72.44598108
AF,2016,64.85781132,AF,60.63596226,62.73667234
AS,2016,76.95203448,AS,71.36841379,74.07886964
EU,2016,82.30159459,EU,76.49859459,79.33341793
NA,2016,77.83958621,NA,72.10668966,74.93291169
OC,2016,74.08463636,OC,68.97181818,71.38222173
SA,2016,76.56575,SA,70.44425,73.49875
AllWorld,2016,75.43356883,AllWorld,70.00428808,72.66047389
AF,2017,65.30477358,AF,61.02703774,63.15435159
AS,2017,77.35251724,AS,71.66213793,74.42486627
EU,2017,82.38043243,EU,76.70937838,79.48019512
NA,2017,77.94293103,NA,72.20793103,75.03816737
OC,2017,74.24527273,OC,69.12681818,71.54068514
SA,2017,76.8145,SA,70.80675,73.816
AllWorld,2017,75.6734045,AllWorld,70.25667554,72.90904425
AF,2018,65.59384906,AF,61.31384906,63.44203405
AS,2018,77.50203448,AS,71.88244828,74.61651808
EU,2018,82.48881081,EU,76.79583784,79.57645353
NA,2018,77.88685714,NA,72.19671429,75.00536324
OC,2018,74.36263636,OC,69.23690909,71.65495787
SA,2018,76.958,SA,70.9905,73.982
AllWorld,2018,75.79869798,AllWorld,70.40270976,73.04622113
AF,2019,65.97701887,AF,61.62750943,63.79055085
AS,2019,77.61955172,AS,72.14772414,74.81637511
EU,2019,82.74543243,EU,77.13883784,79.87768293
NA,2019,77.98164286,NA,72.33325,75.11925523
OC,2019,74.50281818,OC,69.32027273,71.76566519
SA,2019,77.15875,SA,71.179,74.17775
AllWorld,2019,75.99753568,AllWorld,70.62443236,73.25787988
AF,2020,65.71709434,AF,61.14884906,63.4046162
AS,2020,76.6007931,AS,71.08758621,73.75548192
EU,2020,82.00310811,EU,76.29343243,79.07962558
NA,2020,77.29014286,NA,71.24089286,74.19388937
OC,2020,74.59472727,OC,69.10709091,71.66764523
SA,2020,75.7365,SA,69.40825,72.52275
AllWorld,2020,75.32372761,AllWorld,69.71435024,72.43733472
